,model__C,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,0.1,0.42806592416546285,0.4377225820815923,0.430640342565409,0.42806592416546285
1,0.2,0.4287095287654494,0.44126214848988504,0.43707587078200805,0.42806592416546285
2,0.30000000000000004,0.4428724544480172,0.44158420968151146,0.4373968964071019,0.4274228373487426
3,0.4,0.44641305642284246,0.4451248116563368,0.44158369189824526,0.427744898540369
4,0.5,0.4525291123641466,0.44963107942277525,0.4422272964982318,0.4283890209236218
5,0.6,0.4567138367222249,0.46475967089695597,0.44576841625632346,0.42967674790686117
6,0.7000000000000001,0.4689412885554365,0.4682976839554499,0.44512532943960315,0.42999880909848753
7,0.8,0.47569784239712937,0.4782758852799396,0.4470566610228291,0.42967674790686117
8,0.9,0.48503140355509994,0.4869673951877223,0.4477002656228156,0.42967674790686117
9,1.0,0.4901828292713236,0.4927608721541337,0.4483443880060684,0.4299982913152213
